Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,1,West Midlands,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 220 
2017/18,1,West Midlands,Unnatural sexual offences,Sexual offences,Other sexual offences,88D, 1 
2017/18,1,West Midlands,Violent disorder,Public order offences,Public order offences,62A, 7 
2017/18,1,West Midlands,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,1,West Yorkshire,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 12 
2017/18,1,West Yorkshire,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 13 
2017/18,1,West Yorkshire,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 5 
2017/18,1,West Yorkshire,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 4 
2017/18,1,West Yorkshire,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,West Yorkshire,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,West Yorkshire,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 43 
2017/18,1,West Yorkshire,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 123 
2017/18,1,West Yorkshire,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,West Yorkshire,Arson endangering life,Criminal damage and arson,Arson,56A, 59 
2017/18,1,West Yorkshire,Arson not endangering life,Criminal damage and arson,Arson,56B, 484 
2017/18,1,West Yorkshire,Assault with injury,Violence against the person,Violence with injury,8N, 5987 
2017/18,1,West Yorkshire,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 88 
2017/18,1,West Yorkshire,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 399 
2017/18,1,West Yorkshire,Assault without injury,Violence against the person,Violence without injury,105A, 6740 
2017/18,1,West Yorkshire,Assault without injury on a constable,Violence against the person,Violence without injury,104, 219 
2017/18,1,West Yorkshire,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 256 
2017/18,1,West Yorkshire,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,West Yorkshire,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,West Yorkshire,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 963 
2017/18,1,West Yorkshire,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,West Yorkshire,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H, 4 
2017/18,1,West Yorkshire,Attempted murder,Violence against the person,Violence with injury,2, 3 
2017/18,1,West Yorkshire,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83, 1 
2017/18,1,West Yorkshire,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26, 1 
2017/18,1,West Yorkshire,Blackmail,Theft offences,Other theft offences,35, 93 
2017/18,1,West Yorkshire,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 1429 
2017/18,1,West Yorkshire,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,West Yorkshire,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,West Yorkshire,Burglary Residential,Theft offences,Domestic burglary,28E, 3421 
2017/18,1,West Yorkshire,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1, 1 
2017/18,1,West Yorkshire,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,West Yorkshire,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8, 2 
2017/18,1,West Yorkshire,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,West Yorkshire,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 5 
2017/18,1,West Yorkshire,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7, 3 
2017/18,1,West Yorkshire,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 18 
2017/18,1,West Yorkshire,Child abduction,Violence against the person,Violence without injury,13, 10 
2017/18,1,West Yorkshire,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15, 1 
2017/18,1,West Yorkshire,Conspiracy to murder,Violence against the person,Violence without injury,3A, 4 
2017/18,1,West Yorkshire,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 776 
2017/18,1,West Yorkshire,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 2440 
2017/18,1,West Yorkshire,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 2880 
2017/18,1,West Yorkshire,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 97 
2017/18,1,West Yorkshire,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 184 
2017/18,1,West Yorkshire,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95, 1 
2017/18,1,West Yorkshire,Dishonest use of electricity,Theft offences,Other theft offences,43, 44 
2017/18,1,West Yorkshire,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,West Yorkshire,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 25 
2017/18,1,West Yorkshire,Endangering life,Violence against the person,Violence with injury,5E, 47 
2017/18,1,West Yorkshire,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 2 
2017/18,1,West Yorkshire,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 102 
2017/18,1,West Yorkshire,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 1 
2017/18,1,West Yorkshire,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 8 
2017/18,1,West Yorkshire,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 72 
2017/18,1,West Yorkshire,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 47 
2017/18,1,West Yorkshire,Harassment,Violence against the person,Stalking and harassment,8L, 1561 
2017/18,1,West Yorkshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Yorkshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Yorkshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,West Yorkshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 3 
2017/18,1,West Yorkshire,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 13 
2017/18,1,West Yorkshire,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,West Yorkshire,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 978 
2017/18,1,West Yorkshire,Kidnapping,Violence against the person,Violence without injury,36, 74 
2017/18,1,West Yorkshire,Making off without payment,Theft offences,Other theft offences,49A, 1014 
2017/18,1,West Yorkshire,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 8 
2017/18,1,West Yorkshire,Malicious Communications,Violence against the person,Stalking and harassment,8R, 2685 
2017/18,1,West Yorkshire,Modern slavery,Violence against the person,Violence without injury,106, 42 
2017/18,1,West Yorkshire,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 268 
2017/18,1,West Yorkshire,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 82 
2017/18,1,West Yorkshire,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1565 
2017/18,1,West Yorkshire,Other drug offences,Drug offences,Possession of drugs,92C, 5 
2017/18,1,West Yorkshire,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81, 1 
2017/18,1,West Yorkshire,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 73 
2017/18,1,West Yorkshire,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,West Yorkshire,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 3 
2017/18,1,West Yorkshire,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 73 
2017/18,1,West Yorkshire,Other offences against the State or public order,Public order offences,Public order offences,66, 974 
2017/18,1,West Yorkshire,Other theft,Theft offences,Other theft offences,49, 4556 
2017/18,1,West Yorkshire,Perjury,Miscellaneous crimes,Miscellaneous crimes,67, 1 
2017/18,1,West Yorkshire,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 134 
2017/18,1,West Yorkshire,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 164 
2017/18,1,West Yorkshire,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 564 
2017/18,1,West Yorkshire,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 265 
2017/18,1,West Yorkshire,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 3 
2017/18,1,West Yorkshire,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 35 
2017/18,1,West Yorkshire,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 51 
2017/18,1,West Yorkshire,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 202 
2017/18,1,West Yorkshire,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,West Yorkshire,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 37 
2017/18,1,West Yorkshire,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 3825 
2017/18,1,West Yorkshire,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 48 
2017/18,1,West Yorkshire,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 105 
2017/18,1,West Yorkshire,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 27 
2017/18,1,West Yorkshire,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 44 
2017/18,1,West Yorkshire,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 648 
2017/18,1,West Yorkshire,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 469 
2017/18,1,West Yorkshire,Rape of a female child under 13,Sexual offences,Rape offences,19E, 80 
2017/18,1,West Yorkshire,Rape of a female child under 16,Sexual offences,Rape offences,19D, 149 
2017/18,1,West Yorkshire,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 29 
2017/18,1,West Yorkshire,Rape of a male child under 13,Sexual offences,Rape offences,19H, 29 
2017/18,1,West Yorkshire,Rape of a male child under 16,Sexual offences,Rape offences,19G, 4 
2017/18,1,West Yorkshire,Robbery of business property,Robbery,Robbery of business property,34A, 116 
2017/18,1,West Yorkshire,Robbery of personal property,Robbery,Robbery of personal property,34B, 602 
2017/18,1,West Yorkshire,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70, 5 
2017/18,1,West Yorkshire,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 188 
2017/18,1,West Yorkshire,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 227 
2017/18,1,West Yorkshire,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 410 
2017/18,1,West Yorkshire,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 93 
2017/18,1,West Yorkshire,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 68 
2017/18,1,West Yorkshire,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 27 
2017/18,1,West Yorkshire,Sexual grooming,Sexual offences,Other sexual offences,88A, 49 
2017/18,1,West Yorkshire,Shoplifting,Theft offences,Shoplifting,46, 4588 
2017/18,1,West Yorkshire,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,1,West Yorkshire,Stalking,Violence against the person,Stalking and harassment,8Q, 85 
2017/18,1,West Yorkshire,Theft by an employee,Theft offences,Other theft offences,41, 117 
2017/18,1,West Yorkshire,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 25 
2017/18,1,West Yorkshire,Theft from the person,Theft offences,Theft from the person,39, 991 
2017/18,1,West Yorkshire,Theft from vehicle,Theft offences,Theft from a vehicle,45, 3921 
2017/18,1,West Yorkshire,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 876 
2017/18,1,West Yorkshire,Theft of mail,Theft offences,Other theft offences,42, 5 
2017/18,1,West Yorkshire,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 722 
2017/18,1,West Yorkshire,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 1219 
2017/18,1,West Yorkshire,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 621 
